Please enter participant ID number,Democratic Presidential Primary,School,US House (District 8),US House (District 20),US House (District 25),U.S. House (District 27),U.S. House (District 28),U.S. House (District 29),U.S. House (District 30),US House (District 31),U.S. House (District 32),US House (District 33),U.S. House (District 34),U.S. House (District 37),U.S. House (District 38),U.S. House (District 40),US House (District 41),U.S. House (District 43),U.S. House (District 44),U.S. House (District 47),California Proposition 13
ARL1079,Joe Biden (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1081,Joe Biden (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1082,Joe Biden (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,Yes
ARL1084,Michael Bloomberg (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1085,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,Yes
ARL1086,Michael Bloomberg (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
ARL1087,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1090,Amy Klobuchar (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,No
ARL1091,Amy Klobuchar (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,No
ARL1093,Joe Biden (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,No
ARL1094,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Aja Smith (R),,,,Yes
ARL1095,Andrew Yang (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1096,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1097,Joe Biden (D),Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,Yes
ARL1098,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Grace Williams (D),,,,Yes
Arl1099,Tulsi Gabbard (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1100,Tulsi Gabbard (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1101,Bernie Sanders (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,Yes
ARL1102,Andrew Yang (D),Arlington High School,,,,,,,,,,,,,,,Mark Takano (D)(Incumbent),,,,No
